,x,y,z,r
0,-16.436004798,11.5755002436,-40.0549290401,0.5
1,-2.740306165,19.1688569575,6.63036004343,0.5
2,-45.1389649596,3.95711056461,1.1874069669,0.5
3,12.2422454797,-29.4784797693,23.4685209315,0.5
4,8.34035319001,-7.23356790374,-44.3204436765,0.5
5,-15.7246543423,2.364359632,-28.4224630863,0.5
6,-25.5308285326,1.13358168653,33.4566605863,0.5
7,1.34823359081,22.6262574352,-43.6946816921,0.5
8,-13.4116816503,-5.59119979167,-2.01669673228,0.5
9,6.39429929113,15.0364189588,27.6515888891,0.5
10,-17.810285019,-15.0243428952,6.03372923608,0.5
11,-4.91743731434,-26.2527063863,34.3958042081,0.5
12,-44.7990481419,1.93040230616,-3.54444975147,0.5
13,-12.6505072704,48.0545092048,4.12107912814,0.5
14,-3.31683828872,14.3019337894,-47.2678564116,0.5
15,3.94330312074,-22.1809589528,43.7638503518,0.5
16,4.63512299377,4.0172702278,28.2716603873,0.5
17,-13.4993814091,3.05956411565,29.6834687082,0.5
18,31.2674284148,-16.906918604,-5.81846924639,0.5
19,-21.775464825,-38.706588061,12.0596658543,0.5
20,0.718645193523,-22.1914401414,-18.5578923839,0.5
21,-16.3419568968,4.96312931362,-3.86727916485,0.5
22,-15.5818100854,17.1748007381,30.9803677577,0.5
23,0.32055318813,11.6975935552,-19.3350526808,0.5
24,-11.3103338385,-34.7657878505,-24.7466069987,0.5
25,-1.05685609768,15.5173036958,-34.5285625376,0.5
26,-32.5893897936,12.8241518444,-1.50828860971,0.5
27,-26.6241895273,-25.9246644556,-3.770548968,0.5
28,11.1727730337,4.43115175049,-44.1892890339,0.5
29,-4.26398144726,-23.7933640281,-5.01969035703,0.5
30,0.568628036361,-25.9262396259,28.4269066928,0.5
31,17.1076330234,4.47928739959,22.7712718935,0.5
32,8.8132658779,-20.9311624111,-40.6893544057,0.5
33,-33.4648000743,-3.37438623718,-23.7770368167,0.5
34,18.2609827653,30.6676800525,5.75431874063,0.5
35,-0.938121012837,-28.4750506987,25.8469327431,0.5
36,13.7021509909,-34.6989829121,-21.5315152697,0.5
37,-32.8543714199,-34.3476120069,-5.71987060762,0.5
38,43.0239941305,-1.81910610753,9.42257488386,0.5
39,-6.36671855754,-22.2500687347,32.819670927,0.5
40,-42.318355735,-9.74502723112,24.4509630561,0.5
41,-13.7598580594,-7.31928096778,-18.5603094917,0.5
42,-34.1842975889,-1.71761613974,-4.24499443942,0.5
43,27.9776636956,-21.6753811767,-8.39689842636,0.5
44,24.8659212181,-3.99468627312,-29.6324210154,0.5
45,14.5758486739,-5.05096872017,-41.2679356533,0.5
46,-4.42704714369,8.44376857109,42.9623718305,0.5
47,-1.71576417427,-25.7064183263,-21.1453068265,0.5
48,21.2816307407,-3.50868435784,-32.3309248993,0.5
49,-8.44021466385,-15.0189733408,5.66071231453,0.5
50,40.4778430364,2.18721657135,17.7166963387,0.5
51,27.9042558127,-33.692833763,0.721964775759,0.5
52,-1.54435607991,4.15923121954,-5.15312219548,0.5
53,14.5629452858,2.85743787544,3.60522323529,0.5
54,23.3812524599,7.95895977394,4.72825328167,0.5
55,38.6784050026,-25.147846611,8.74823879728,0.5
56,13.9976266623,28.6138110391,-24.7910480342,0.5
57,-3.9247696443,-4.63079934279,38.2822842417,0.5
58,-12.3729972351,23.8390538308,41.3583965811,0.5
59,-1.35921933676,-5.75641392231,-31.8649673046,0.5
60,7.59243572215,2.72187228636,0.37246447706,0.5
61,33.032631014,15.4841159648,17.2896367675,0.5
62,-2.46088421676,-3.77506283382,-9.84082060253,0.5
63,27.6600952358,-20.940871256,-32.2642798253,0.5
64,-0.29364881597,-7.29610757561,38.5753665785,0.5
65,-14.4559676865,30.679965794,-1.75156819974,0.5
66,9.4747663663,35.098545607,33.1454168285,0.5
67,24.0718485763,29.2481695463,-17.261776489,0.5
68,38.5455035852,5.24044846386,23.7584395464,0.5
69,-24.2470146536,8.92189696759,20.6686218045,0.5
70,-20.4689037664,15.623390316,1.23055105515,0.5
71,0.953329703954,-40.849236028,-3.41019772049,0.5
72,-13.8459780825,-13.4589150085,-40.596643238,0.5
73,2.38209064282,-46.9895038278,-0.356960664272,0.5
74,-5.51863340963,-4.17694036793,-18.937506487,0.5
75,18.813518543,-24.3081966097,16.9936071721,0.5
76,-6.90082192047,-0.231377748781,21.5278786445,0.5
77,3.44903859967,-30.5536202317,-34.4873840589,0.5
78,-47.4990151546,-3.47397937417,-3.68279663396,0.5
79,-0.505122316966,-15.9224561211,8.39933194961,0.5
80,22.5519889496,-25.198988957,-31.0438971386,0.5
81,16.260797593,-5.33197887409,27.9638492962,0.5
82,0.100776211464,-38.104281411,20.4762719797,0.5
83,-7.3102662439,25.0277915403,-31.1821837102,0.5
84,12.7235481706,-21.6993917901,-18.6626570776,0.5
85,-26.5262806779,4.72955491962,-6.07963330068,0.5
86,19.0847300601,20.2310301111,18.7272784968,0.5
87,-28.7880512436,6.89483824464,-12.5263455446,0.5
88,9.23061214473,-2.9138537729,13.7907235109,0.5
89,19.2221017935,-20.4566631657,38.9073153889,0.5
90,26.9751339483,27.7443692939,8.30614224636,0.5
91,9.18984283581,-9.95381207667,4.58419232168,0.5
92,-25.6064778521,-19.7128968426,14.1917859004,0.5
93,7.86633967312,8.81521027084,13.0424439626,0.5
94,5.02919900244,-1.23197073451,26.357385241,0.5
95,1.66405583934,-25.8826819469,19.3225695791,0.5
96,12.3644481529,34.013925834,-29.8332274318,0.5
97,19.0109510938,-27.3706119607,-12.6070975276,0.5
98,15.1627317024,-32.3850896153,33.1349979141,0.5
99,-27.5097037403,-24.2400601315,-33.4010498705,0.5
100,33.7397801049,-1.68471039942,-23.7243016322,0.5
101,-7.51210020955,-25.9565738268,-32.1850664734,0.5
102,32.3032948775,10.9223272791,18.2924250673,0.5
103,28.0476476713,3.55349354534,40.9072736287,0.5
104,0.19929234016,-18.7625751347,-30.3493095597,0.5
105,9.13721871482,35.5469569543,-29.1024458281,0.5
106,32.8872328596,22.3561395371,9.78585686073,0.5
107,35.1268453937,-17.2647693752,-18.6082236834,0.5
108,6.47237604698,11.9969855558,7.74990227212,0.5
109,3.88351263892,23.4604546873,14.001136743,0.5
110,10.4864657774,-22.3528735659,-8.03234750708,0.5
111,27.1692981567,-12.8036889616,-24.2490414952,0.5
112,-16.8994645576,5.04234276556,-24.2736426655,0.5
113,18.8393562535,-36.7089729013,27.4757515335,0.5
114,10.4073206419,-7.51036090028,42.9505175205,0.5
115,11.8565607044,19.9263289942,31.8436082811,0.5
116,24.8638433532,30.160022741,-26.4129307729,0.5
117,27.5924558313,-7.83042441481,-23.2641289325,0.5
